dm,hu-no.,po-no.,customer,wire rod supplier,material,diameter,batch,ring-no.,ring mass wr,ring mass ad,wgm 1,wgm 2,grinding belt type 1,grinding belt type 2,used belts 1,used belts 2,nominal diameter,actual diameter rs,actual diameter re,drawing speed,drawing die no.,ampl. testing rs,ampl. testing re,coil diameter,cronet,membrain,production start,production end,sum erros,notes,staff no.
1,178741520,3895521,Liberty Spring,SAG,,15,95298,4825,1150,1150,,,,,,,13.1,13.1,13.11,0.95,D1,45,45,17,y,y,10.09.2023 - 22:15,10.09.2023 - 22:55,0,s,s
1,178741520,3895521,Liberty Spring,SAG,,15,95298,4825-2,1215,1215,,,,,,,13.1,13.1,13.11,0.95,D1,45,45,17,y,y,10.09.2023 - 22:15,10.09.2023 - 22:55,0,s,s
1,177116886,3925355,Mubea Mexico,GSW,,16,151115,6838,2963,2960,,,,,,,14.8,14.8,14.81,0.95,E8,45,45,18,y,y,10.09.2023 - 23:10,10.09.2023 - 23:50,4,s,s
1,177278730,3925109,Mubea Mexico,GSW,,16,151111,6918,2895,2892,,,,,,,14.8,14.81,14.82,0.95,E8,45,45,18,y,y,11.09.2023 - 00:05,11.09.2023 - 00:40,0,s,s
1,177115967,3925640,Mubea Mexico,GSW,54SiCr6,19,150926,2426,2867,2864,,,,,,,17.6,17.61,17.62,0.95,H6,45,45,21,y,y,11.09.2023 - 00:50,11.09.2023 - 01:25,0,s,s
1,180901048,3925181,Mubea Mexico,SAG,,19,709509,7274,2446,2443,,,,,,,17.6,17.6,17.61,0.95,H6,45,45,21,y,y,11.09.2023 - 01:40,11.09.2023 - 02:20,0,s,s
1,178568349,3925361,Mubea Mexico,SAG,,15,151752,8290,2935,2932,,,,,,,13.6,13.59,13.6,0.95,D6,45,45,17,y,y,11.09.2023 - 02:40,11.09.2023 - 03:30,0,s,s
1,179735186,3925364,Mubea Mexico,GSW,,15,151753,8216,2921,2918,,,,,,,13.6,13.6,13.61,0.95,D6,45,45,17,y,y,11.09.2023 - 03:40,11.09.2023 - 04:20,0,s,s
1,177278729,3925108,Mubea Mexico,GSW,,16,151111,6919,2949,2946,,,,,,,14.8,14.81,14.82,0.95,E8,45,45,18,y,y,11.09.2023 - 04:40,11.09.2023 - 05:30,0,s,s
1,180661258,3925636,Mubea Mexico,GSW,,15,152195,5304,2895,2892,,,,,,,13.6,13.61,13.62,0.95,D6,45,45,17,y,y,11.09.2023 - 05:45,11.09.2023 - 06:40,0,s,s
