0,Hotset Linea 1
1,Coiling Linea 1
2,Horno Linea 1
3,Hotset Linea 1
4,Shot Peener 1
5,Byte5
6,Coldset Linea 1
7,Fine Peener Linea 1
8,Byte8
9,Coiling Linea 2
10,Horno Linea 2
11,Hotset Linea 2
12,Shot Peener 2
13,Coldset Line 2
14,ITW Linea 2
15,ITW Linea 1
16,Draw Line
17,ITW Linea 3
