timestamp,current,diametro,Vel Teórica,Vel Actual,Temp de Referencia,input diameter,output diameter,hour,Day/Night
2023-07-09 14:39:00,0,16.07592964,92,0,42,0,0.0,14,Day
2023-07-09 14:39:00,0,16.07592964,92,0,41,0,0.0,14,Day
2023-07-09 14:39:00,0,16.07592964,92,0,41,0,0.0,14,Day
2023-07-09 14:39:00,0,16.07592964,92,0,40,0,0.0,14,Day
2023-07-09 14:39:00,0,16.07592964,92,0,40,0,0.0,14,Day
2023-07-09 14:39:00,0,16.07592964,92,0,40,0,0.0,14,Day
2023-07-09 14:39:00,0,16.07592964,92,0,39,0,0.0,14,Day
2023-07-09 14:39:00,0,16.07592964,92,0,39,0,0.0,14,Day
2023-07-09 14:39:00,0,16.07592964,92,0,39,0,0.0,14,Day
2023-07-09 14:39:00,0,16.07592964,92,0,39,0,0.0,14,Day
2023-07-09 14:40:00,0,16.07592964,92,0,38,0,0.0,14,Day
2023-07-09 14:40:00,0,16.07592964,92,0,38,0,0.0,14,Day
2023-07-09 14:40:00,0,16.07592964,92,0,38,0,0.0,14,Day
2023-07-09 14:40:00,0,16.07592964,92,0,38,0,0.0,14,Day
2023-07-09 14:40:00,0,16.07592964,92,0,38,0,0.0,14,Day
2023-07-09 14:40:00,0,16.07592964,92,0,37,0,0.0,14,Day
2023-07-09 14:40:00,0,16.07592964,92,0,37,0,0.0,14,Day
2023-07-09 14:40:00,0,16.07592964,92,0,37,0,0.0,14,Day
2023-07-09 14:40:00,0,16.07592964,92,0,37,0,0.0,14,Day
2023-07-09 14:40:00,0,16.07592964,92,0,37,0,0.0,14,Day
2023-07-09 14:40:00,0,16.07592964,92,0,37,0,0.0,14,Day
2023-07-09 14:40:00,0,16.07592964,92,0,37,0,0.0,14,Day
2023-07-09 14:40:00,0,16.07592964,92,0,36,0,0.0,14,Day
2023-07-09 14:40:00,0,16.07592964,92,0,36,0,0.0,14,Day
2023-07-09 14:40:00,0,16.07592964,92,0,36,0,0.0,14,Day
2023-07-09 14:40:00,0,16.07592964,92,0,36,0,0.0,14,Day
2023-07-09 14:40:00,0,16.07592964,92,0,36,0,0.0,14,Day
2023-07-09 14:41:00,0,16.07592964,92,0,36,0,0.0,14,Day
2023-07-09 14:41:00,0,16.07592964,92,0,36,0,0.0,14,Day
2023-07-09 14:41:00,0,16.07592964,92,0,36,0,0.0,14,Day
2023-07-09 14:41:00,0,16.07592964,92,0,36,0,0.0,14,Day
2023-07-09 14:41:00,0,16.07592964,92,0,35,0,0.0,14,Day
2023-07-09 14:41:00,0,16.07592964,92,0,35,0,0.0,14,Day
2023-07-09 14:41:00,0,16.07592964,92,0,35,0,0.0,14,Day
